Titolo;Coordinate;Descrizione
Alun Alun Kidul;-7.811963293917376, 110.36322683174224;"Ti trovi al centro di Alun-Alun Kidul Yogyakarta, la piazza meridionale del complesso del Palazzo Reale, situata a sud del Kraton. Accesso all'area: Gratuito. Costi: L'esplorazione e' libera; il noleggio dei famosi ""Odong-odong"" (auto a pedali luminose) costa tra 50.000 e 100.000 IDR per qualche giro, mentre lo street food locale costa mediamente tra 5.000 e 20.000 IDR. Davanti a te (Direzione Nord): Vedi la facciata meridionale del palazzo del Sultano, chiamata Siti Hinggil Kidul. e' qui che storicamente il Sultano osservava le esercitazioni dei soldati. Noterai un grande arco e una struttura cerimoniale aperta. Al centro della piazza (Proprio davanti a te): Svettano i due leggendari alberi di banyan (Ficus) gemelli, circondati da una bassa recinzione quadrata. Secondo la tradizione locale chiamata Masangin, se riesci a camminare bendato tra i due alberi partendo dal lato sud, il tuo desiderio si avverera'. Alla tua destra e alla tua sinistra (Direzione Est e Ovest): La piazza e' circondata da un perimetro di alberi e strade animate. Di sera, quest'area si trasforma completamente: vedrai decine di auto a pedali decorate con luci LED colorate e musica ad alto volume che circolano lungo il perimetro. Lungo i marciapiedi si trovano innumerevoli banchetti di Wedang Ronde (una bevanda calda allo zenzero) e stuoie dove la gente siede a terra per cenare. Dietro di te (Direzione Sud): Si trova l'uscita verso il quartiere di Plengkung Gading, una delle antiche porte fortificate della citta', nota per la sua architettura bianca e i bastioni. Consiglio Audioguida: Il momento migliore per visitare la piazza e' dopo il tramonto, quando le luci degli Odong-odong e l'animazione popolare creano un'atmosfera magica e caotica tipica di Yogyakarta. Se vuoi provare il Masangin, ci sono molti noleggiatori locali che ti forniranno una benda per pochi spiccioli."
Prambanan;-7.752016013492026, 110.49130796620798;"Ti trovi al centro del complesso di Prambanan, il piu' grande sito templare indu' dell'Indonesia, situato circa 17 km a est di Yogyakarta. Accesso all'area: A pagamento. Costi: Per i turisti stranieri il biglietto costa circa 375.000 IDR (o circa 675.000 IDR se acquistato in combinazione con Borobudur). Davanti a te (Direzione Est): Svettano le imponenti guglie del complesso principale, il Loro Jonggrang. La torre centrale, alta 47 metri, e' il tempio dedicato a Shiva; e' affiancata dal tempio di Brahma a sud e da quello di Vishnu a nord. Osserva le pietre scure finemente lavorate e le ripide scale che portano alle celle interne dove sono custodite le statue delle divinita'. Alla tua destra (Direzione Sud): Vedrai i resti di centinaia di templi minori chiamati Pervara, disposti in file concentriche; la maggior parte sono oggi cumuli di pietre a causa di antichi terremoti, ma rendono l'idea della vastita' originale del sito. In questa direzione, fuori dal recinto principale, si trova anche il tempio di Sewu. Alla tua sinistra (Direzione Nord): Si estende il vasto parco archeologico che ospita altri templi minori come il Candi Lumbung e il Candi Bubrah. Piu' lontano, verso l'orizzonte, si staglia il profilo del vulcano Merapi. Dietro di te (Direzione Ovest): Si trova il viale d'ingresso principale e l'area dei musei. Se ti volti, vedrai anche la zona dove sorge il teatro all'aperto che ospita il celebre balletto Ramayana nelle serate di luna piena. Consiglio Audioguida: Cammina intorno al tempio di Shiva seguendo il senso orario per ammirare i bassorilievi che narrano l'epica del Ramayana. Nota come l'architettura a guglie (tipica indu') sia radicalmente diversa dalla struttura a gradoni del buddista Borobudur."
Lumbung Temple;-7.748102609992718, 110.4929528582718;"Ti trovi di fronte al Candi Lumbung, un tempio buddista del IX secolo situato all'interno del parco archeologico di Prambanan, circa 500 metri a nord del complesso principale di Shiva. Accesso all'area: A pagamento (incluso nel biglietto d'ingresso del Parco Archeologico di Prambanan). Costi: Il biglietto per stranieri costa circa 375.000 IDR (valido per l'intero parco). Davanti a te (Direzione Est): Vedi il tempio principale circondato da ben 16 templi minori chiamati Perwara. Il nome ""Lumbung"" in giavanese significa ""granaio"", a causa della forma caratteristica della struttura che ricorda un deposito di riso. Sebbene il tetto sia parzialmente crollato, puoi ancora ammirare i dettagli delle nicchie che un tempo ospitavano statue di Buddha. Alla tua destra (Direzione Sud): In lontananza svettano le alte guglie del complesso indu' di Prambanan; da qui puoi apprezzare la pacifica convivenza storica tra buddismo e induismo in quest'area. Alla tua sinistra (Direzione Nord): Il sentiero prosegue verso il tempio di Bubrah e, piu' avanti, il maestoso complesso di Sewu. Il paesaggio e' dominato da prati verdi e alberi tropicali che offrono ombra lungo il cammino. Dietro di te (Direzione Ovest): Si trova l'area aperta del parco e il sentiero pedonale che riconduce verso l'uscita principale e il museo. Consiglio Audioguida: Osserva attentamente le pareti esterne: sono decorate con figure di figure celesti e motivi floreali molto simili a quelli del tempio di Sewu. Nonostante sia meno visitato rispetto al complesso principale, il Candi Lumbung offre un'atmosfera molto piu' silenziosa e intima per scattare fotografie senza la folla."
Bubrah Temple;-7.7464875436926, 110.49296373291821;"Ti trovi di fronte al Candi Bubrah, un affascinante tempio buddista del IX secolo situato all'interno del Parco Archeologico di Prambanan, a meta' strada tra il tempio di Lumbung e il complesso di Sewu. Accesso all'area: A pagamento (incluso nel biglietto d'ingresso del Parco Archeologico di Prambanan). Costi: Il biglietto per i turisti stranieri costa circa 375.000 IDR (valido per tutto il parco). Davanti a te (Direzione Est): Ammiri l'unica struttura del tempio, che e' stata oggetto di un meticoloso restauro completato nel 2017. Il nome ""Bubrah"" significa ""distrutto"" o ""in rovina"" in giavanese, poiché per secoli il sito e' stato solo un ammasso di pietre; oggi invece puoi vedere la sua elegante silhouette completata da una stupa centrale. Le pareti sono decorate con finissimi bassorilievi di figure divine e motivi vegetali. Alla tua destra (Direzione Sud): Se guardi indietro verso l'orizzonte, vedrai le punte dei templi di Lumbung e, piu' lontano, le sagome monumentali del complesso indu' di Prambanan. Alla tua sinistra (Direzione Nord): Il sentiero prosegue per poche centinaia di metri verso il maestoso Candi Sewu, il secondo tempio buddista piu' grande dell'Indonesia dopo Borobudur. Dietro di te (Direzione Ovest): Si estende la vasta spianata erbosa del parco archeologico, con i sentieri pedonali solitamente percorsi dai visitatori a piedi o con le biciclette a noleggio. Consiglio Audioguida: Avvicinati per osservare la precisione dei giunti tra le pietre restaurate: e' un esempio eccellente di anastilosi, la tecnica di ricostruzione che utilizza i pezzi originali ritrovati sul sito. Essendo un tempio buddista, nota come la sua forma a stupa contrasti con le guglie appuntite dei vicini templi indu'."
Kasunanan Palace, Surakarta Hadiningrat;-7.577793289708861, 110.82792994451688;Ti trovi di fronte all'ingresso principale del Keraton Surakarta HadiningratFai clic per aprire il riquadro laterale per ulteriori informazioni (Palazzo Kasunanan), il centro culturale e spirituale di Solo, fondato nel 1744 dal sultano Pakubuwono II. Accesso all'area: A pagamento per il museo e il cortile interno. Costi: L'ingresso per i turisti stranieri costa circa 15.000 IDR (piu' un'eventuale piccola tassa per l'uso della fotocamera). Davanti a te (Direzione Sud): Ammiri il maestoso portale d'ingresso chiamato Kori Kamandungan. Osserva l'architettura che fonde lo stile tradizionale giavanese con influenze europee, visibili nelle decorazioni e nelle statue. Sopra il portale svetta la torre Panggung Sangga Buwana, un edificio ottagonale alto 30 metri che fungeva da torre di avvistamento e luogo di meditazione per il Sultano. Alla tua destra (Direzione Ovest): Vedrai l'area del Sasana Sumewa, un grande padiglione aperto (pendopo) dove storicamente si riunivano i ministri e i funzionari del regno. Oltre le mura si estende il distretto di Baluwarti, un tranquillo quartiere residenziale situato all'interno delle mura del palazzo. Alla tua sinistra (Direzione Est): Si trova il Museo del Palazzo, dove sono esposti palanchini reali, armi antiche, strumenti per il gamelan e una collezione di polene di navi reali. Lungo questo lato puoi notare anche i cortili sabbiosi punteggiati da alberi di Sawo Kecik, simboli di virtu' e pazienza. Dietro di te (Direzione Nord): Si apre la vasta piazza settentrionale, l'Alun-Alun Utara. Alle tue spalle, lungo il perimetro della piazza, si trovano il mercato tessile di Pasar Klewer e la Grande Moschea di Solo. Consiglio Audioguida: Ricorda di indossare abiti rispettosi (niente pantaloncini corti o canottiere) e tieni presente che all'interno di alcune aree sacre e' richiesto di camminare a piedi nudi. Nota lo strato di sabbia vulcanica che ricopre il cortile centrale: proviene dalle spiagge del sud e dal monte Merapi, simboleggiando l'equilibrio degli elementi.
Red Bridge Jembatan Merah;-7.236529992977461, 112.73810741264491;"Ti trovi nel cuore storico di Surabaya, esattamente sopra il leggendario Jembatan Merah (Ponte Rosso), che attraversa il fiume Kali Mas collegando Jalan Rajawali a Jalan Kembang Jepun. Accesso all'area: Gratuito (trattandosi di un'infrastruttura pubblica). Costi: L'esplorazione e' libera; un tour in jeep della citta' vecchia costa circa 200.000-300.000 IDR, mentre lo street food nei mercati vicini costa tra 15.000 e 35.000 IDR. Davanti a te (Direzione Est): Si apre l'ingresso di Jalan Kembang Jepun, il cuore pulsante della Chinatown di Surabaya (Kya-Kya). Noterai grandi portali decorati e, di sera, innumerevoli lanterne rosse e bancarelle di cibo. Il ponte stesso e' caratterizzato dalle sue ringhiere rosso acceso, simbolo del sangue versato dai combattenti per l'indipendenza durante la battaglia del 10 novembre 1945. Alla tua destra (Direzione Sud): Seguendo il corso del fiume Kali Mas, vedrai scorrere le chiatte tradizionali. Lungo la sponda si trovano vecchi magazzini coloniali e uffici commerciali che un tempo costituivano il centro finanziario delle Indie Orientali Olandesi. Alla tua sinistra (Direzione Nord): La vista si sposta verso la zona portuale e l'edificio della Cerutu Indonesia. Poco piu' avanti si trova il Pasar Pabean, uno dei mercati tradizionali piu' antichi e affollati della citta', famoso per il pesce e le spezie. Dietro di te (Direzione Ovest): Ti lasci alle spalle Jalan Rajawali e l'imponente zona degli edifici governativi coloniali. Proprio all'angolo svetta l'iconico Gedung Cerutu (edificio a forma di sigaro) e, a breve distanza, il Jembatan Merah Plaza, uno dei centri commerciali storici della zona. Consiglio Audioguida: Questo ponte non e' solo un punto di passaggio, ma un monumento nazionale: e' qui che il generale britannico Mallaby fu ucciso, evento che scateno la battaglia decisiva per l'indipendenza indonesiana. Per scattare la foto perfetta con il contrasto tra il rosso del ponte e gli edifici bianchi coloniali, posizionati sul lato sud del marciapiede."
Ps. Pabean;-7.234742582591424, 112.74073580434899;"Ti trovi all'ingresso del Pasar Pabean, uno dei mercati piu' antichi, grandi e autentici di Surabaya, situato tra il quartiere arabo e quello cinese su Jalan Panggung. Accesso all'area: Gratuito (si paga solo cio che si acquista). Costi: L'ingresso e' libero; i prezzi per spezie e pesce sono tra i piu' competitivi della citta', con snack locali a partire da 5.000-10.000 IDR. Davanti a te (Direzione Est): Ti addentri nel cuore pulsante del mercato. Verrai subito colpito dall'odore intenso di spezie e pesce secco. Davanti a te si apre un labirinto di stretti vicoli coperti dove i banchi traboccano di cipolle, aglio, peperoncini e, soprattutto, enormi sacchi di spezie provenienti da tutte le isole dell'Indonesia. e' un ambiente frenetico, con facchini che trasportano merci pesanti sulle spalle. Alla tua destra (Direzione Sud): Vedrai l'area dedicata al mercato del pesce fresco (Pasar Ikan), particolarmente attiva durante la notte e le prime ore del mattino. Qui il pavimento e' spesso bagnato e l'attivita' e' incessante; e' il punto di riferimento per i ristoratori di tutta Surabaya. Alla tua sinistra (Direzione Nord): I vicoli conducono verso il quartiere arabo di Ampel. Noterai un cambiamento graduale nelle merci esposte: iniziano a comparire profumi, datteri, tappeti e abbigliamento religioso. La folla diventa piu' densa man mano che ci si avvicina alla zona della Moschea di Ampel. Dietro di te (Direzione Ovest): Si trova l'uscita verso Jalan Panggung, una via recentemente riqualificata con edifici coloniali dipinti in colori vivaci. Alle tue spalle, a pochi minuti a piedi, si trova il leggendario Jembatan Merah. Consiglio Audioguida: Indossa scarpe chiuse e comode perché il pavimento all'interno puo essere scivoloso e sporco. Non aver paura di perderti nei corridoi laterali: e' li che troverai i prezzi migliori per la vaniglia, la cannella e i chiodi di garofano di altissima qualita'."
Temple Hong Tiek Hian;-7.237384837766761, 112.74389529901374;"Ti trovi di fronte al Temple Hong Tiek Hian, considerato il tempio cinese piu' antico di Surabaya, situato su Jalan Dukuh nel vivace quartiere di Nyamplungan. Accesso all'area: Gratuito (le offerte per la manutenzione e l'incenso sono gradite). Costi: L'ingresso e' libero; un mazzo di bastoncini di incenso costa circa 5.000 - 10.000 IDR. Davanti a te (Direzione Nord): Vedi l'ingresso principale di questo complesso unico, diviso in due edifici gemelli separati da una piccola strada. La facciata e' un trionfo di rosso e oro, con lanterne appese e draghi scolpiti. Entrando, vedrai l'altare principale dedicato a Kwan Im e altre divinita' taoiste, avvolto dal fumo denso degli incensi che bruciano costantemente. Alla tua destra (Direzione Est): Noterai il secondo edificio del complesso. La caratteristica piu' affascinante di questo tempio e' il palcoscenico per il tradizionale teatro delle marionette cinesi (Wayang Potehi) situato al piano superiore; se sei fortunato, potrai sentire il suono dei piatti e dei tamburi durante una rappresentazione pomeridiana. Alla tua sinistra (Direzione Ovest): Si sviluppa il quartiere densamente popolato intorno a Jalan Dukuh. Lungo la via vedrai piccoli negozi di artigianato, officine e case tradizionali che si fondono con le attivita' del tempio. Dietro di te (Direzione Sud): Ti lasci alle spalle il labirinto di vicoli che conduce verso la zona di Jalan Kembang Jepun e il mercato di Pabean. Alle tue spalle il traffico di motorini e carretti e' costante, tipico del cuore commerciale della vecchia Surabaya. Consiglio Audioguida: Cerca di salire al piano superiore per vedere da vicino le marionette Potehi; sono tra le ultime attive in citta' e rappresentano un ponte prezioso con la cultura millenaria dei primi coloni cinesi. Ricorda di togliere le scarpe dove indicato e di non disturbare i fedeli in preghiera."
Badut Temple;-7.957829941246795, 112.5986883259508;"Ti trovi davanti al Candi Badut, il tempio piu' antico della Giava Orientale, risalente al 760 d.C., situato nel villaggio di Karangwidoro, vicino a Malang, su Jalan Raya Candi V. Accesso all'area: A pagamento. Costi: Il biglietto costa circa 10.000 - 15.000 IDR (prezzo soggetto a variazioni locali). Davanti a te (Direzione Ovest): Ammiri la struttura principale del tempio, costruita in pietra andesite scura. A differenza dei templi slanciati di epoche successive, il Candi Badut ha una forma piu' tozza e robusta, che ricorda lo stile dei templi di Dieng nella Giava Centrale. Vedrai la scala d'accesso che conduce alla cella principale (garbhagriha), dove un tempo era custodito un lingam e una yoni, simboli di Shiva. Alla tua destra e alla tua sinistra (Direzione Nord e Sud): Il tempio poggia su una base elevata circondata da un prato verde ben curato. Sulle pareti esterne puoi notare nicchie che un tempo ospitavano statue divine, incorniciate da intagli di ""Kala"" (testa di demone senza mascella inferiore) sopra le aperture, con un aspetto meno minaccioso rispetto a quelli dei templi piu' recenti. Dietro di te (Direzione Est): Si trova il cancello d'ingresso al sito e l'area di parcheggio. Alle tue spalle, oltre il recinto del sito archeologico, si estende una zona residenziale tranquilla che ha parzialmente inglobato l'area dove un tempo sorgevano probabilmente altri edifici del complesso. Consiglio Audioguida: Osserva i dettagli della base: e' insolitamente alta e priva dei complessi bassorilievi narrativi tipici di Borobudur o Prambanan, evidenziando la transizione verso lo stile giavanese orientale. e' un luogo molto pacifico, ideale per osservare l'architettura indu' piu' arcaica lontano dalle grandi folle."
Alun Alun Malang;-7.982617163247292, 112.63072868768022;"Ti trovi esattamente al centro di Alun-Alun Malang, il cuore verde e sociale della citta' di Malang, situato lungo Jalan Merdeka Selatan. Accesso all'area: Gratuito. Costi: L'esplorazione della piazza e' libera. Lo street food locale nei dintorni costa mediamente tra 10.000 e 25.000 IDR, mentre un giro sui tipici riscio puo essere contrattato per circa 20.000-40.000 IDR. Davanti a te (Direzione Nord): Si estende l'ampio parco cittadino con i suoi sentieri pavimentati e le grandi fontane centrali che spesso offrono giochi d'acqua. Vedrai stormi di piccioni che i visitatori amano nutrire e molte aree gioco per bambini sotto l'ombra di alberi secolari. Alla tua destra (Direzione Est): Svettano le guglie della Chiesa del Sacro Cuore (Gereja Hati Kudus Yesus), una magnifica cattedrale in stile neogotico che testimonia l'eredita' coloniale della citta'. Poco piu' avanti si trova anche il centro commerciale Ramayana, uno dei piu' antichi di Malang. Alla tua sinistra (Direzione Ovest): Vedrai l'imponente Grande Moschea di Malang (Masjid Agung Jami'), caratterizzata da una combinazione di architettura giavanese e araba. Tra la moschea e la piazza si trova spesso un vivace viavai di persone e venditori ambulanti. Dietro di te (Direzione Sud): Si trova il perimetro di Jalan Merdeka Selatan, dove hanno sede importanti uffici governativi e storiche banche ospitate in edifici dell'epoca coloniale olandese. Alle tue spalle si trova anche il famoso Hotel Merdeka. Consiglio Audioguida: Alun-Alun Malang e' uno dei posti migliori per provare il cibo tipico di strada; cerca i venditori di ""Cilok"" o ""Bakso Malang"" nelle vicinanze. La piazza e' particolarmente suggestiva la sera, quando le luci della moschea e della cattedrale creano un bellissimo contrasto architettonico."
Tumpak Sewu Waterfall;-8.231398000393275, 112.91754416818469;"Ti trovi sull'orlo del maestoso canyon di Tumpak Sewu Waterfall (nota anche come Coban Sewu), situata al confine tra Lumajang e Malang, ai piedi del vulcano Semeru. Accesso all'area: A pagamento. Costi: L'ingresso al punto panoramico superiore costa circa 20.000 IDR; per scendere alla base della cascata si paga un supplemento di circa 50.000 IDR. Il parcheggio costa 5.000 IDR. Davanti a te (Direzione Ovest): Si apre un abisso profondo circa 120 metri dove centinaia di sottili cascate d'acqua si gettano lungo una parete semicircolare ricoperta di vegetazione lussureggiante, creando l'effetto di una ""tenda"" d'acqua infinita. Dal punto panoramico superiore, vedrai la nebbia salire dal fondo del canyon, mentre nelle mattine limpide la cima fumante del Monte Semeru svetta maestosa proprio dietro le cascate. Alla tua destra (Direzione Nord): Si trova il sentiero che scende verso la base. La discesa dura circa 30-45 minuti ed e' avventurosa: include scale di bambu', passaggi su rocce scivolose e tratti in cui camminerai direttamente nel flusso dell'acqua aiutandoti con delle corde. Alla tua sinistra (Direzione Sud): Il sentiero prosegue lungo il fianco della collina verso la cascata e la grotta di Goa Tetes. e' un sistema di grotte e cascate dorate formate da depositi di zolfo e calcare, dove l'acqua scorre sopra formazioni rocciose uniche; richiede un biglietto separato di circa 10.000-20.000 IDR. Dietro di te (Direzione Est): Si trova l'ingresso principale del lato Lumajang (Sidomulyo), con l'area parcheggio, piccoli chioschi che vendono cibo locale (warung) e bevande fresche. Consiglio Audioguida: Visita il sito tra le 7:00 e le 9:00 del mattino per la luce migliore e per evitare il caldo intenso. Se decidi di scendere alla base, indossa scarpe con un ottimo grip (niente infradito) e porta un sacchetto impermeabile per il telefono e la fotocamera, poiché lo spostamento d'aria creato dalla cascata nebulizza l'acqua ovunque."
Monte Bromo;-7.942307853643189, 112.95290828562668;"Ti trovi sul bordo del cratere del Monte Bromo, un vulcano attivo situato all'interno della vasta caldera del Tengger, nel Parco Nazionale di Bromo Tengger Semeru. Accesso all'area: A pagamento. Costi: L'ingresso per i turisti stranieri costa circa 220.000 IDR nei giorni feriali e 320.000 IDR nei festivi. Il noleggio di una Jeep 4x4 (obbligatoria per attraversare la caldera) costa circa 600.000-800.000 IDR per veicolo. Davanti a te (Direzione Ovest): Guardi direttamente nell'abisso fumante del cratere attivo; sentirai il boato profondo della terra e l'odore pungente dello zolfo che sale sotto forma di densi vapori bianchi. Oltre il cratere, la vista spazia sul ""Mare di Sabbia"" (Lautan Pasir), una distesa di cenere grigia che sembra un paesaggio lunare. Alla tua destra (Direzione Nord): Si estende il bordo della caldera principale da cui sei salito attraverso i 250 ripidi gradini di cemento. In lontananza, puoi vedere il tempio indu' Pura Luhur Poten che sorge solitario ai piedi del vulcano, dove i Tenggeresi celebrano ancora oggi i loro riti. Alla tua sinistra (Direzione Sud): Svettano le cime gemelle del Monte Batok, un vulcano spento perfettamente conico e ricoperto di vegetazione che contrasta con la nudita' del Bromo. All'orizzonte, troneggia il maestoso Monte Semeru, il vulcano piu' alto di Giava, che emette regolarmente sbuffi di cenere. Dietro di te (Direzione Est): Si trova il sentiero che scende verso l'area di sosta delle Jeep. Alle tue spalle vedrai i fedeli locali e i cavalli che trasportano i turisti lungo il pendio sabbioso. Consiglio Audioguida: Il momento iconico e' l'alba vista dal punto panoramico di Penanjakan prima di scendere nel cratere. Porta vestiti pesanti perché la temperatura puo scendere vicino allo zero prima del sorgere del sole. Se soffri l'odore dello zolfo, usa una mascherina o una sciarpa umida."
